Auto Posto Nº 43,SP,SÃO PAULO,722898,NÃO,32,EXECUÇÃO,NÃO,NÃO REALIZADO,4
Auto Posto Nº 60,MG,SUDESTE,457000,NÃO,32,CONHECIMENTO,NÃO,NÃO REALIZADO,8
Auto Posto Nº 72,PE,NORDESTE,407095,NÃO,32,EXECUÇÃO,SIM,REALIZADO,6
Rede Abastecedora Número 137,SP,SÃO PAULO,390000,SIM,32,CONHECIMENTO,NÃO,REALIZADO,9
Auto Posto Mais 93,PI,NORDESTE,390000,SIM,32,CONHECIMENTO,NÃO,REALIZADO,8
Rede Abastecedora Número 23,BA,NORDESTE,311523,SIM,32,EXECUÇÃO,SIM,REALIZADO,5
Auto Posto Mais 28,SP,SÃO PAULO,302302,SIM,32,CONHECIMENTO,SIM,REALIZADO,5
Auto Posto Nº 95,GO ,CENTRO OESTE,290000,SIM,32,CONHECIMENTO,SIM,REALIZADO,6
Auto Posto Nº 98,MG,SUDESTE,261409,NÃO,32,CONHECIMENTO,NÃO,NÃO REALIZADO,5
Auto Posto Mais 36,MA,NORDESTE,250677,NÃO,32,CONHECIMENTO,NÃO,NÃO REALIZADO,4
Auto Posto Nº 128,AM,NORTE,242956,NÃO,32,CONHECIMENTO,NÃO,NÃO REALIZADO,9
Auto Posto Nº 119,MG,SUDESTE,200000,SIM,32,EXECUÇÃO,SIM,REALIZADO,11
Auto Posto Nº 130,MG,SUDESTE,174696,SIM,32,EXECUÇÃO,SIM,REALIZADO,5
Auto Posto Nº 134,SP,SÃO PAULO,154598,SIM,32,EXECUÇÃO,SIM,REALIZADO,5
Rede Abastecedora Número 136,RS,SUL,150000,NÃO,32,CONHECIMENTO,NÃO,NÃO REALIZADO,7
Delta Lubrificantes e Combustíveis,MT,CENTRO OESTE,130000,NÃO,32,EXECUÇÃO,SIM,REALIZADO,4
Auto Posto Mais 85,PA,NORTE,115854,NÃO,32,EXECUÇÃO,NÃO,NÃO REALIZADO,6
Rede Abastecedora Número 19,ES,SUDESTE,115854,NÃO,32,EXECUÇÃO,SIM,REALIZADO,5
Auto Posto Mais 7,MG,SUDESTE,104469,NÃO,32,EXECUÇÃO,NÃO,REALIZADO,5
Tau & Cia,SP,SÃO PAULO,3492739,SIM,32,EXECUÇÃO,SIM,REALIZADO,8
Rede de Postos Terceira,PA,NORTE,1641441,SIM,32,EXECUÇÃO,NÃO,NÃO REALIZADO,9
Rede Abastecedora Número 90,AM,NORTE,1550000,SIM,32,CONHECIMENTO,SIM,REALIZADO,10
Auto Posto Nº 39,MG,SUDESTE,749383,SIM,32,EXECUÇÃO,SIM,REALIZADO,10
Auto Posto Nº 33,SP,SÃO PAULO,727221,NÃO,32,EXECUÇÃO,NÃO,NÃO REALIZADO,6
Auto Posto Mais 34,AL,NORDESTE,719872,NÃO,32,EXECUÇÃO,NÃO,NÃO REALIZADO,5
Auto Posto Nº 56,RS,SUL,500000,NÃO,32,CONHECIMENTO,NÃO,NÃO REALIZADO,6
Auto Posto Nº 69,SP,SÃO PAULO,413839,SIM,32,EXECUÇÃO,SIM,REALIZADO,6
Auto Posto Nº 118,GO,CENTRO OESTE,390333,NÃO,32,CONHECIMENTO,NÃO,NÃO REALIZADO,10
Auto Posto Nº 87,PE,NORDESTE,307639,SIM,32,EXECUÇÃO,SIM,REALIZADO,5
Rede Abastecedora Número 20,CE,NORDESTE,301000,NÃO,32,CONHECIMENTO,NÃO,NÃO REALIZADO,8
Rede Abastecedora Número 9,SP,SÃO PAULO,210000,NÃO,32,CONHECIMENTO,NÃO,NÃO REALIZADO,5
Auto Posto Nº 108,CE,NORDESTE,206000,NÃO,32,CONHECIMENTO,NÃO,NÃO REALIZADO,10
Auto Posto Nº 116,SP,SÃO PAULO,203080,SIM,32,CONHECIMENTO,SIM,REALIZADO,5
Auto Posto Nº 126,RJ,SUDESTE,191599,SIM,32,EXECUÇÃO,SIM,REALIZADO,4
